"order_id","product_id","product_category","supplier","customer_country","employee_city","order_month","shipper_name","unit_price","quantity","discount","total_amount"
10254,74,"Produce","Tokyo Traders","Switzerland","London","7","United Package","8",21,"0","168"
10255,2,"Beverages","Exotic Liquids","Switzerland","London","7","Federal Shipping","15.2",20,"0","303.99999618530273"
10255,16,"Confections","Pavlova, Ltd.","Switzerland","London","7","Federal Shipping","13.9",35,"0","486.49998664855957"
10255,36,"Seafood","Svensk Sjöföda AB","Switzerland","London","7","Federal Shipping","15.2",25,"0","379.9999952316284"
10255,59,"Dairy Products","Gai pâturage","Switzerland","London","7","Federal Shipping","44",30,"0","1320"
10256,53,"Meat/Poultry","G'day, Mate","Brazil","Kirkland","7","United Package","26.2",15,"0","393.0000114440918"
10256,77,"Condiments","Plutzer Lebensmittelgroßmärkte AG","Brazil","Kirkland","7","United Package","10.4",12,"0","124.79999542236328"
10257,27,"Confections","Heli Süßwaren GmbH & Co. KG","Venezuela","Redmond","7","Federal Shipping","35.1",25,"0","877.4999618530273"
10257,39,"Beverages","Aux joyeux ecclésiastiques","Venezuela","Redmond","7","Federal Shipping","14.4",6,"0","86.39999771118164"
10257,77,"Condiments","Plutzer Lebensmittelgroßmärkte AG","Venezuela","Redmond","7","Federal Shipping","10.4",15,"0","155.9999942779541"
10258,2,"Beverages","Exotic Liquids","Austria","Seattle","7","Speedy Express","15.2",50,"0.2","607.999990105629"
10258,5,"Condiments","New Orleans Cajun Delights","Austria","Seattle","7","Speedy Express","17",65,"0.2","883.9999967068434"
10258,32,"Dairy Products","Formaggi Fortini s.r.l.","Austria","Seattle","7","Speedy Express","25.6",6,"0.2","122.88000137329101"
10259,21,"Confections","Specialty Biscuits, Ltd.","Mexico","Redmond","7","Federal Shipping","8",10,"0","80"
10259,37,"Seafood","Svensk Sjöföda AB","Mexico","Redmond","7","Federal Shipping","20.8",1,"0","20.799999237060547"
10260,41,"Seafood","New England Seafood Cannery","Germany","Redmond","7","Speedy Express","7.7",16,"0.25","92.39999771118164"
10260,57,"Grains/Cereals","Pasta Buttini s.r.l.","Germany","Redmond","7","Speedy Express","15.6",50,"0","780.0000190734863"
10260,62,"Confections","Forêts d'érables","Germany","Redmond","7","Speedy Express","39.4",15,"0.25","443.2500171661377"
10260,70,"Beverages","Pavlova, Ltd.","Germany","Redmond","7","Speedy Express","12",21,"0.25","189"
10261,21,"Confections","Specialty Biscuits, Ltd.","Brazil","Redmond","7","United Package","8",20,"0","160"
10261,35,"Beverages","Bigfoot Breweries","Brazil","Redmond","7","United Package","14.4",20,"0","287.99999237060547"
10262,5,"Condiments","New Orleans Cajun Delights","USA","Seattle","7","Federal Shipping","17",12,"0.2","163.19999939203262"
10262,7,"Produce","Grandma Kelly's Homestead","USA","Seattle","7","Federal Shipping","24",15,"0","360"
10262,56,"Grains/Cereals","Pasta Buttini s.r.l.","USA","Seattle","7","Federal Shipping","30.4",2,"0","60.79999923706055"
10263,16,"Confections","Pavlova, Ltd.","Austria","London","7","Federal Shipping","13.9",60,"0.25","625.4999828338623"
10263,24,"Beverages","Refrescos Americanas LTDA","Austria","London","7","Federal Shipping","3.6",28,"0","100.79999732971191"
10263,30,"Seafood","Nord-Ost-Fisch Handelsgesellschaft mbH","Austria","London","7","Federal Shipping","20.7",60,"0.25","931.5000343322754"
10263,74,"Produce","Tokyo Traders","Austria","London","7","Federal Shipping","8",36,"0.25","216"
10264,2,"Beverages","Exotic Liquids","Sweden","London","7","Federal Shipping","15.2",35,"0","531.9999933242798"
10264,41,"Seafood","New England Seafood Cannery","Sweden","London","7","Federal Shipping","7.7",25,"0.15","163.62499479949477"
10265,17,"Meat/Poultry","Pavlova, Ltd.","France","Tacoma","7","Speedy Express","31.2",30,"0","936.0000228881836"
10265,70,"Beverages","Pavlova, Ltd.","France","Tacoma","7","Speedy Express","12",20,"0","240"
10266,12,"Dairy Products","Cooperativa de Quesos 'Las Cabras'","Finland","Kirkland","7","Federal Shipping","30.4",12,"0.05","346.55999537944797"
10267,40,"Seafood","New England Seafood Cannery","Germany","Redmond","7","Speedy Express","14.7",50,"0","734.9999904632568"
10267,59,"Dairy Products","Gai pâturage","Germany","Redmond","7","Speedy Express","44",70,"0.15","2617.9999816417694"
10267,76,"Beverages","Karkki Oy","Germany","Redmond","7","Speedy Express","14.4",15,"0.15","183.5999938488007"
10268,29,"Meat/Poultry","Plutzer Lebensmittelgroßmärkte AG","Venezuela","Seattle","7","Federal Shipping","99",10,"0","990"
10268,72,"Dairy Products","Formaggi Fortini s.r.l.","Venezuela","Seattle","7","Federal Shipping","27.8",4,"0","111.19999694824219"
10269,33,"Dairy Products","Norske Meierier","USA","London","7","Speedy Express","2",60,"0.05","113.99999991059303"
10269,72,"Dairy Products","Formaggi Fortini s.r.l.","USA","London","7","Speedy Express","27.8",20,"0.05","528.1999850898981"
10270,36,"Seafood","Svensk Sjöföda AB","Finland","Seattle","8","Speedy Express","15.2",30,"0","455.9999942779541"
10270,43,"Beverages","Leka Trading","Finland","Seattle","8","Speedy Express","36.8",25,"0","919.9999809265137"
10271,33,"Dairy Products","Norske Meierier","USA","London","8","United Package","2",24,"0","48"
10272,20,"Confections","Specialty Biscuits, Ltd.","USA","London","8","United Package","64.8",6,"0","388.8000183105469"
10272,31,"Dairy Products","Formaggi Fortini s.r.l.","USA","London","8","United Package","10",40,"0","400"
10272,72,"Dairy Products","Formaggi Fortini s.r.l.","USA","London","8","United Package","27.8",24,"0","667.1999816894531"
10273,10,"Seafood","Tokyo Traders","Germany","Kirkland","8","Federal Shipping","24.8",24,"0.05","565.4399821615219"
10273,31,"Dairy Products","Formaggi Fortini s.r.l.","Germany","Kirkland","8","Federal Shipping","10",15,"0.05","142.4999998882413"
10273,33,"Dairy Products","Norske Meierier","Germany","Kirkland","8","Federal Shipping","2",20,"0","40"
10273,40,"Seafood","New England Seafood Cannery","Germany","Kirkland","8","Federal Shipping","14.7",60,"0.05","837.8999884709716"
10273,76,"Beverages","Karkki Oy","Germany","Kirkland","8","Federal Shipping","14.4",33,"0.05","451.4399876868725"
10274,71,"Dairy Products","Norske Meierier","France","London","8","Speedy Express","17.2",20,"0","344.00001525878906"
10274,72,"Dairy Products","Formaggi Fortini s.r.l.","France","London","8","Speedy Express","27.8",7,"0","194.59999465942383"
10275,24,"Beverages","Refrescos Americanas LTDA","Italy","Seattle","8","Speedy Express","3.6",12,"0.05","41.03999888062477"
10275,59,"Dairy Products","Gai pâturage","Italy","Seattle","8","Speedy Express","44",6,"0.05","250.79999980330467"
10276,10,"Seafood","Tokyo Traders","Mexico","Seattle","8","Federal Shipping","24.8",15,"0","371.9999885559082"
10276,13,"Seafood","Mayumi's","Mexico","Seattle","8","Federal Shipping","4.8",10,"0","48.00000190734863"
10277,28,"Produce","Plutzer Lebensmittelgroßmärkte AG","Germany","Tacoma","8","Federal Shipping","36.4",20,"0","728.0000305175781"
10277,62,"Confections","Forêts d'érables","Germany","Tacoma","8","Federal Shipping","39.4",12,"0","472.8000183105469"
10278,44,"Condiments","Leka Trading","Sweden","Seattle","8","United Package","15.5",16,"0","248"
10278,59,"Dairy Products","Gai pâturage","Sweden","Seattle","8","United Package","44",15,"0","660"
10278,63,"Condiments","Pavlova, Ltd.","Sweden","Seattle","8","United Package","35.1",8,"0","280.79998779296875"
10278,73,"Seafood","Svensk Sjöföda AB","Sweden","Seattle","8","United Package","12",25,"0","300"
10279,17,"Meat/Poultry","Pavlova, Ltd.","Germany","Seattle","8","United Package","31.2",15,"0.25","351.00000858306885"
10280,24,"Beverages","Refrescos Americanas LTDA","Sweden","Tacoma","8","Speedy Express","3.6",12,"0","43.19999885559082"
10280,55,"Meat/Poultry","Ma Maison","Sweden","Tacoma","8","Speedy Express","19.2",20,"0","384.00001525878906"
10280,75,"Beverages","Plutzer Lebensmittelgroßmärkte AG","Sweden","Tacoma","8","Speedy Express","6.2",30,"0","185.9999942779541"
10281,19,"Confections","Specialty Biscuits, Ltd.","Spain","Redmond","8","Speedy Express","7.3",1,"0","7.300000190734863"
10281,24,"Beverages","Refrescos Americanas LTDA","Spain","Redmond","8","Speedy Express","3.6",6,"0","21.59999942779541"
10281,35,"Beverages","Bigfoot Breweries","Spain","Redmond","8","Speedy Express","14.4",4,"0","57.599998474121094"
10282,30,"Seafood","Nord-Ost-Fisch Handelsgesellschaft mbH","Spain","Redmond","8","Speedy Express","20.7",6,"0","124.20000457763672"
10282,57,"Grains/Cereals","Pasta Buttini s.r.l.","Spain","Redmond","8","Speedy Express","15.6",2,"0","31.200000762939453"
10283,15,"Condiments","Mayumi's","Venezuela","Kirkland","8","Federal Shipping","12.4",20,"0","247.99999237060547"
10283,19,"Confections","Specialty Biscuits, Ltd.","Venezuela","Kirkland","8","Federal Shipping","7.3",18,"0","131.40000343322754"
10283,60,"Dairy Products","Gai pâturage","Venezuela","Kirkland","8","Federal Shipping","27.2",35,"0","952.0000267028809"
10283,72,"Dairy Products","Formaggi Fortini s.r.l.","Venezuela","Kirkland","8","Federal Shipping","27.8",3,"0","83.39999771118164"
10284,27,"Confections","Heli Süßwaren GmbH & Co. KG","Germany","Redmond","8","Speedy Express","35.1",15,"0.25","394.8749828338623"
10284,44,"Condiments","Leka Trading","Germany","Redmond","8","Speedy Express","15.5",21,"0","325.5"
10284,60,"Dairy Products","Gai pâturage","Germany","Redmond","8","Speedy Express","27.2",20,"0.25","408.0000114440918"
10284,67,"Beverages","Bigfoot Breweries","Germany","Redmond","8","Speedy Express","11.2",5,"0.25","41.99999928474426"
10285,1,"Beverages","Specialty Biscuits, Ltd.","Germany","Seattle","8","United Package","14.4",45,"0.2","518.3999843358994"
10285,40,"Seafood","New England Seafood Cannery","Germany","Seattle","8","United Package","14.7",40,"0.2","470.39999214410784"
10285,53,"Meat/Poultry","G'day, Mate","Germany","Seattle","8","United Package","26.2",36,"0.2","754.5600191617011"
10286,35,"Beverages","Bigfoot Breweries","Germany","Seattle","8","Federal Shipping","14.4",100,"0","1439.9999618530273"
10286,62,"Confections","Forêts d'érables","Germany","Seattle","8","Federal Shipping","39.4",40,"0","1576.0000610351562"
10287,16,"Confections","Pavlova, Ltd.","Brazil","Seattle","8","Federal Shipping","13.9",40,"0.15","472.59998371601114"
10287,34,"Beverages","Bigfoot Breweries","Brazil","Seattle","8","Federal Shipping","11.2",20,"0","223.99999618530273"
10287,46,"Seafood","Lyngbysild","Brazil","Seattle","8","Federal Shipping","9.6",15,"0.15","122.4000040054321"
10288,54,"Meat/Poultry","Ma Maison","Italy","Redmond","8","Speedy Express","5.9",10,"0.1","53.10000077039003"
10288,68,"Confections","Specialty Biscuits, Ltd.","Italy","Redmond","8","Speedy Express","10",3,"0.1","26.999999955296516"
10289,3,"Condiments","Exotic Liquids","UK","London","8","Federal Shipping","8",30,"0","240"
10289,64,"Grains/Cereals","Plutzer Lebensmittelgroßmärkte AG","UK","London","8","Federal Shipping","26.6",9,"0","239.40000343322754"
10290,5,"Condiments","New Orleans Cajun Delights","Brazil","Seattle","8","Speedy Express","17",20,"0","340"
10290,29,"Meat/Poultry","Plutzer Lebensmittelgroßmärkte AG","Brazil","Seattle","8","Speedy Express","99",15,"0","1485"
10290,49,"Confections","Karkki Oy","Brazil","Seattle","8","Speedy Express","16",15,"0","240"
10290,77,"Condiments","Plutzer Lebensmittelgroßmärkte AG","Brazil","Seattle","8","Speedy Express","10.4",10,"0","103.99999618530273"
10291,13,"Seafood","Mayumi's","Brazil","London","8","United Package","4.8",20,"0.1","86.40000329017639"
10291,44,"Condiments","Leka Trading","Brazil","London","8","United Package","15.5",24,"0.1","334.7999994456768"
10291,51,"Produce","G'day, Mate","Brazil","London","8","United Package","42.4",2,"0.1","76.32000262022018"
10292,20,"Confections","Specialty Biscuits, Ltd.","Brazil","Seattle","8","United Package","64.8",20,"0","1296.0000610351562"
10293,18,"Seafood","Pavlova, Ltd.","Mexico","Seattle","8","Federal Shipping","50",12,"0","600"
10293,24,"Beverages","Refrescos Americanas LTDA","Mexico","Seattle","8","Federal Shipping","3.6",10,"0","35.999999046325684"
10293,63,"Condiments","Pavlova, Ltd.","Mexico","Seattle","8","Federal Shipping","35.1",5,"0","175.49999237060547"
10293,75,"Beverages","Plutzer Lebensmittelgroßmärkte AG","Mexico","Seattle","8","Federal Shipping","6.2",6,"0","37.19999885559082"
10294,1,"Beverages","Specialty Biscuits, Ltd.","USA","Redmond","8","United Package","14.4",18,"0","259.1999931335449"
10294,17,"Meat/Poultry","Pavlova, Ltd.","USA","Redmond","8","United Package","31.2",15,"0","468.0000114440918"
10294,43,"Beverages","Leka Trading","USA","Redmond","8","United Package","36.8",15,"0","551.9999885559082"
10294,60,"Dairy Products","Gai pâturage","USA","Redmond","8","United Package","27.2",21,"0","571.2000160217285"
10294,75,"Beverages","Plutzer Lebensmittelgroßmärkte AG","USA","Redmond","8","United Package","6.2",6,"0","37.19999885559082"
10295,56,"Grains/Cereals","Pasta Buttini s.r.l.","France","Tacoma","9","United Package","30.4",4,"0","121.5999984741211"
10296,11,"Dairy Products","Cooperativa de Quesos 'Las Cabras'","Venezuela","London","9","Speedy Express","16.8",12,"0","201.59999084472656"
10296,16,"Confections","Pavlova, Ltd.","Venezuela","London","9","Speedy Express","13.9",30,"0","416.9999885559082"
10296,69,"Dairy Products","Norske Meierier","Venezuela","London","9","Speedy Express","28.8",15,"0","431.9999885559082"
10297,39,"Beverages","Aux joyeux ecclésiastiques","France","London","9","United Package","14.4",60,"0","863.9999771118164"
10297,72,"Dairy Products","Formaggi Fortini s.r.l.","France","London","9","United Package","27.8",20,"0","555.9999847412109"
10298,2,"Beverages","Exotic Liquids","Ireland","London","9","United Package","15.2",40,"0","607.9999923706055"
10298,36,"Seafood","Svensk Sjöföda AB","Ireland","London","9","United Package","15.2",40,"0.25","455.9999942779541"
10298,59,"Dairy Products","Gai pâturage","Ireland","London","9","United Package","44",30,"0.25","990"
10298,62,"Confections","Forêts d'érables","Ireland","London","9","United Package","39.4",15,"0","591.0000228881836"
10299,19,"Confections","Specialty Biscuits, Ltd.","Brazil","Redmond","9","United Package","7.3",15,"0","109.50000286102295"
10299,70,"Beverages","Pavlova, Ltd.","Brazil","Redmond","9","United Package","12",20,"0","240"
10300,66,"Condiments","New Orleans Cajun Delights","Italy","Tacoma","9","United Package","13.6",30,"0","408.0000114440918"
10300,68,"Confections","Specialty Biscuits, Ltd.","Italy","Tacoma","9","United Package","10",20,"0","200"
10301,40,"Seafood","New England Seafood Cannery","Germany","Seattle","9","United Package","14.7",10,"0","146.99999809265137"
10301,56,"Grains/Cereals","Pasta Buttini s.r.l.","Germany","Seattle","9","United Package","30.4",20,"0","607.9999923706055"
10302,17,"Meat/Poultry","Pavlova, Ltd.","Belgium","Redmond","9","United Package","31.2",40,"0","1248.0000305175781"
10302,28,"Produce","Plutzer Lebensmittelgroßmärkte AG","Belgium","Redmond","9","United Package","36.4",28,"0","1019.2000427246094"
10302,43,"Beverages","Leka Trading","Belgium","Redmond","9","United Package","36.8",12,"0","441.59999084472656"
10303,40,"Seafood","New England Seafood Cannery","Spain","London","9","United Package","14.7",40,"0.1","529.1999922573566"
10303,65,"Condiments","New Orleans Cajun Delights","Spain","London","9","United Package","16.8",30,"0.1","453.5999786496163"
10303,68,"Confections","Specialty Biscuits, Ltd.","Spain","London","9","United Package","10",15,"0.1","134.99999977648258"
10304,49,"Confections","Karkki Oy","Mexico","Seattle","9","United Package","16",30,"0","480"
10304,59,"Dairy Products","Gai pâturage","Mexico","Seattle","9","United Package","44",10,"0","440"
10304,71,"Dairy Products","Norske Meierier","Mexico","Seattle","9","United Package","17.2",2,"0","34.400001525878906"
10305,18,"Seafood","Pavlova, Ltd.","USA","Seattle","9","Federal Shipping","50",25,"0.1","1124.9999981373549"
10305,29,"Meat/Poultry","Plutzer Lebensmittelgroßmärkte AG","USA","Seattle","9","Federal Shipping","99",25,"0.1","2227.4999963119626"
10305,39,"Beverages","Aux joyeux ecclésiastiques","USA","Seattle","9","Federal Shipping","14.4",30,"0.1","388.79998905658726"
10306,30,"Seafood","Nord-Ost-Fisch Handelsgesellschaft mbH","Spain","Seattle","9","Federal Shipping","20.7",10,"0","207.00000762939453"
10306,53,"Meat/Poultry","G'day, Mate","Spain","Seattle","9","Federal Shipping","26.2",10,"0","262.00000762939453"
10306,54,"Meat/Poultry","Ma Maison","Spain","Seattle","9","Federal Shipping","5.9",5,"0","29.500000476837158"
10307,62,"Confections","Forêts d'érables","USA","Tacoma","9","United Package","39.4",10,"0","394.00001525878906"
10307,68,"Confections","Specialty Biscuits, Ltd.","USA","Tacoma","9","United Package","10",3,"0","30"
10308,69,"Dairy Products","Norske Meierier","Mexico","London","9","Federal Shipping","28.8",1,"0","28.799999237060547"
10308,70,"Beverages","Pavlova, Ltd.","Mexico","London","9","Federal Shipping","12",5,"0","60"
10309,4,"Condiments","New Orleans Cajun Delights","Ireland","Kirkland","9","Speedy Express","17.6",20,"0","352.00000762939453"
10309,6,"Condiments","Grandma Kelly's Homestead","Ireland","Kirkland","9","Speedy Express","20",30,"0","600"
10309,42,"Grains/Cereals","Leka Trading","Ireland","Kirkland","9","Speedy Express","11.2",2,"0","22.399999618530273"
10309,43,"Beverages","Leka Trading","Ireland","Kirkland","9","Speedy Express","36.8",20,"0","735.9999847412109"
10309,71,"Dairy Products","Norske Meierier","Ireland","Kirkland","9","Speedy Express","17.2",3,"0","51.60000228881836"
10310,16,"Confections","Pavlova, Ltd.","USA","Seattle","9","United Package","13.9",10,"0","138.99999618530273"
10310,62,"Confections","Forêts d'érables","USA","Seattle","9","United Package","39.4",5,"0","197.00000762939453"
10311,42,"Grains/Cereals","Leka Trading","France","Seattle","9","Federal Shipping","11.2",6,"0","67.19999885559082"
10311,69,"Dairy Products","Norske Meierier","France","Seattle","9","Federal Shipping","28.8",7,"0","201.59999465942383"
10312,28,"Produce","Plutzer Lebensmittelgroßmärkte AG","Germany","Tacoma","9","United Package","36.4",4,"0","145.60000610351562"
10312,43,"Beverages","Leka Trading","Germany","Tacoma","9","United Package","36.8",24,"0","883.1999816894531"
10312,53,"Meat/Poultry","G'day, Mate","Germany","Tacoma","9","United Package","26.2",20,"0","524.0000152587891"
10312,75,"Beverages","Plutzer Lebensmittelgroßmärkte AG","Germany","Tacoma","9","United Package","6.2",10,"0","61.99999809265137"
10313,36,"Seafood","Svensk Sjöföda AB","Germany","Tacoma","9","United Package","15.2",12,"0","182.39999771118164"
10314,32,"Dairy Products","Formaggi Fortini s.r.l.","USA","Seattle","9","United Package","25.6",40,"0.1","921.6000122070312"
10314,58,"Seafood","Escargots Nouveaux","USA","Seattle","9","United Package","10.6",30,"0.1","286.20000982582565"
10314,62,"Confections","Forêts d'érables","USA","Seattle","9","United Package","39.4",25,"0.1","886.500032864511"
10315,34,"Beverages","Bigfoot Breweries","UK","Redmond","9","United Package","11.2",14,"0","156.7999973297119"
10315,70,"Beverages","Pavlova, Ltd.","UK","Redmond","9","United Package","12",30,"0","360"
10316,41,"Seafood","New England Seafood Cannery","USA","Seattle","9","Federal Shipping","7.7",10,"0","76.99999809265137"
10316,62,"Confections","Forêts d'érables","USA","Seattle","9","Federal Shipping","39.4",70,"0","2758.0001068115234"
10317,1,"Beverages","Specialty Biscuits, Ltd.","USA","London","9","Speedy Express","14.4",20,"0","287.99999237060547"
10318,41,"Seafood","New England Seafood Cannery","UK","Seattle","10","United Package","7.7",20,"0","153.99999618530273"
10318,76,"Beverages","Karkki Oy","UK","Seattle","10","United Package","14.4",6,"0","86.39999771118164"
10319,17,"Meat/Poultry","Pavlova, Ltd.","Mexico","London","10","Federal Shipping","31.2",8,"0","249.60000610351562"
10319,28,"Produce","Plutzer Lebensmittelgroßmärkte AG","Mexico","London","10","Federal Shipping","36.4",14,"0","509.6000213623047"
10319,76,"Beverages","Karkki Oy","Mexico","London","10","Federal Shipping","14.4",30,"0","431.9999885559082"
10320,71,"Dairy Products","Norske Meierier","Finland","London","10","Federal Shipping","17.2",30,"0","516.0000228881836"
10321,35,"Beverages","Bigfoot Breweries","UK","Kirkland","10","United Package","14.4",10,"0","143.99999618530273"
10322,52,"Grains/Cereals","G'day, Mate","Mexico","London","10","Federal Shipping","5.6",20,"0","111.99999809265137"
10323,15,"Condiments","Mayumi's","Germany","Redmond","10","Speedy Express","12.4",5,"0","61.99999809265137"
10323,25,"Confections","Heli Süßwaren GmbH & Co. KG","Germany","Redmond","10","Speedy Express","11.2",4,"0","44.79999923706055"
10323,39,"Beverages","Aux joyeux ecclésiastiques","Germany","Redmond","10","Speedy Express","14.4",4,"0","57.599998474121094"
10324,16,"Confections","Pavlova, Ltd.","USA","London","10","Speedy Express","13.9",21,"0.15","248.11499145090585"
10324,35,"Beverages","Bigfoot Breweries","USA","London","10","Speedy Express","14.4",70,"0.15","856.7999712944032"
10324,46,"Seafood","Lyngbysild","USA","London","10","Speedy Express","9.6",30,"0","288.0000114440918"
10324,59,"Dairy Products","Gai pâturage","USA","London","10","Speedy Express","44",40,"0.15","1495.9999895095825"
10324,63,"Condiments","Pavlova, Ltd.","USA","London","10","Speedy Express","35.1",80,"0.15","2386.799879503251"
10325,6,"Condiments","Grandma Kelly's Homestead","Germany","Seattle","10","Federal Shipping","20",6,"0","120"
10325,13,"Seafood","Mayumi's","Germany","Seattle","10","Federal Shipping","4.8",12,"0","57.60000228881836"
10325,14,"Produce","Mayumi's","Germany","Seattle","10","Federal Shipping","18.6",9,"0","167.40000343322754"
10325,31,"Dairy Products","Formaggi Fortini s.r.l.","Germany","Seattle","10","Federal Shipping","10",4,"0","40"
10325,72,"Dairy Products","Formaggi Fortini s.r.l.","Germany","Seattle","10","Federal Shipping","27.8",40,"0","1111.9999694824219"
10326,4,"Condiments","New Orleans Cajun Delights","Spain","Redmond","10","United Package","17.6",24,"0","422.40000915527344"
10326,57,"Grains/Cereals","Pasta Buttini s.r.l.","Spain","Redmond","10","United Package","15.6",16,"0","249.60000610351562"
10326,75,"Beverages","Plutzer Lebensmittelgroßmärkte AG","Spain","Redmond","10","United Package","6.2",50,"0","309.99999046325684"
10327,2,"Beverages","Exotic Liquids","Sweden","Tacoma","10","Speedy Express","15.2",25,"0.2","303.9999950528145"
10327,11,"Dairy Products","Cooperativa de Quesos 'Las Cabras'","Sweden","Tacoma","10","Speedy Express","16.8",50,"0.2","671.9999669790269"
10327,30,"Seafood","Nord-Ost-Fisch Handelsgesellschaft mbH","Sweden","Tacoma","10","Speedy Express","20.7",35,"0.2","579.6000192031263"
10327,58,"Seafood","Escargots Nouveaux","Sweden","Tacoma","10","Speedy Express","10.6",30,"0.2","254.40000820755955"
10328,59,"Dairy Products","Gai pâturage","Portugal","Redmond","10","Federal Shipping","44",9,"0","396"
10328,65,"Condiments","New Orleans Cajun Delights","Portugal","Redmond","10","Federal Shipping","16.8",40,"0","671.9999694824219"
10328,68,"Confections","Specialty Biscuits, Ltd.","Portugal","Redmond","10","Federal Shipping","10",10,"0","100"
10329,19,"Confections","Specialty Biscuits, Ltd.","USA","Redmond","10","United Package","7.3",10,"0.05","69.35000175759197"
10329,30,"Seafood","Nord-Ost-Fisch Handelsgesellschaft mbH","USA","Redmond","10","United Package","20.7",8,"0.05","157.32000567495822"
10329,38,"Beverages","Aux joyeux ecclésiastiques","USA","Redmond","10","United Package","210.8",20,"0.05","4005.200054842234"
10329,56,"Grains/Cereals","Pasta Buttini s.r.l.","USA","Redmond","10","United Package","30.4",12,"0.05","346.55999537944797"
10330,26,"Confections","Heli Süßwaren GmbH & Co. KG","Venezuela","Kirkland","10","Speedy Express","24.9",50,"0.15","1058.2499763667583"
10330,72,"Dairy Products","Formaggi Fortini s.r.l.","Venezuela","Kirkland","10","Speedy Express","27.8",25,"0.15","590.7499796450139"
10331,54,"Meat/Poultry","Ma Maison","France","London","10","Speedy Express","5.9",15,"0","88.50000143051147"
10332,18,"Seafood","Pavlova, Ltd.","Canada","Kirkland","10","United Package","50",40,"0.2","1599.9999940395355"
10332,42,"Grains/Cereals","Leka Trading","Canada","Kirkland","10","United Package","11.2",10,"0.2","89.59999814033509"
10332,47,"Confections","Zaanse Snoepfabriek","Canada","Kirkland","10","United Package","7.6",16,"0.2","97.27999841690064"
10333,14,"Produce","Mayumi's","Finland","London","10","Federal Shipping","18.6",10,"0","186.00000381469727"
10333,21,"Confections","Specialty Biscuits, Ltd.","Finland","London","10","Federal Shipping","8",10,"0.1","71.99999988079071"
10333,71,"Dairy Products","Norske Meierier","Finland","London","10","Federal Shipping","17.2",40,"0.1","619.2000264406204"
10334,52,"Grains/Cereals","G'day, Mate","France","Seattle","10","United Package","5.6",8,"0","44.79999923706055"
10334,68,"Confections","Specialty Biscuits, Ltd.","France","Seattle","10","United Package","10",10,"0","100"
10335,2,"Beverages","Exotic Liquids","Ireland","London","10","United Package","15.2",7,"0.2","85.11999861478806"
10335,31,"Dairy Products","Formaggi Fortini s.r.l.","Ireland","London","10","United Package","10",25,"0.2","199.99999925494194"
10335,32,"Dairy Products","Formaggi Fortini s.r.l.","Ireland","London","10","United Package","25.6",6,"0.2","122.88000137329101"
10335,51,"Produce","G'day, Mate","Ireland","London","10","United Package","42.4",48,"0.2","1628.1600525283811"
10336,4,"Condiments","New Orleans Cajun Delights","Portugal","London","10","United Package","17.6",18,"0.1","285.1200057077408"
10337,23,"Grains/Cereals","PB Knäckebröd AB","Germany","Redmond","10","Federal Shipping","7.2",40,"0","287.99999237060547"
